,clientes,predicción
0,49128,1
1,69792,0
2,69838,0
3,69868,0
4,70334,0
5,70430,0
6,70566,1
7,71438,1
8,72510,0
9,73010,1
10,73022,0
11,73274,0
12,73420,1
13,76016,0
14,77452,0
15,78222,0
16,78232,0
17,78236,0
18,78244,0
19,78256,0
20,78260,0
21,78262,0
22,78268,0
23,78270,0
24,78282,0
25,78284,0
26,78312,1
27,78448,1
28,78512,0
29,78516,0
30,78528,0
31,78554,0
32,78560,1
33,78590,0
34,78598,0
35,78608,0
36,78870,0
37,78910,0
38,78952,0
39,78990,0
40,79022,0
41,79062,0
42,79098,0
43,79110,0
44,79146,0
45,79184,0
46,80318,0
47,80580,0
48,81252,1
49,81266,0
50,81338,0
51,81346,1
52,82042,0
53,82440,0
54,82636,0
55,82862,0
56,82868,0
57,82934,0
58,83600,0
59,83604,0
60,83718,0
61,83780,0
62,84364,0
63,84384,0
64,84406,0
65,85068,0
66,85078,0
67,85084,0
68,85128,0
69,85152,0
70,85630,0
71,85632,0
72,86138,1
73,86142,0
74,86222,0
75,86606,0
76,86608,1
77,86634,0
78,86740,0
79,86768,0
80,86816,0
81,87004,0
82,87052,0
83,87252,0
84,87290,1
85,87598,1
86,87740,0
87,88024,0
88,88254,0
89,88512,1
90,88914,0
91,89372,0
92,89376,0
93,90204,0
94,90210,0
95,90322,0
96,90444,0
97,91724,0
98,92036,0
99,92052,1
100,92152,0
101,92204,0
102,92246,0
103,92258,1
104,92270,0
105,92294,0
106,92352,1
107,92510,0
108,92646,0
109,92668,0
110,92786,0
111,92788,1
112,92792,0
113,92838,0
114,92840,0
115,92864,1
116,92900,1
117,92948,0
118,92950,0
119,92998,0
120,93000,0
121,93038,0
122,93066,0
123,93070,0
124,93082,0
125,93088,0
126,93092,1
127,93098,0
128,93120,0
129,93122,0
130,93124,0
131,93130,1
132,93144,0
133,93148,0
134,93152,0
135,93164,1
136,93186,0
137,93198,0
138,93218,0
139,93222,1
140,93224,1
141,93228,1
142,93232,1
143,93258,0
144,93262,0
145,93264,1
146,93266,0
147,93270,0
148,93282,0
149,93288,0
150,93296,0
151,93302,0
152,93340,1
153,93354,1
154,93358,1
155,93360,0
156,93362,0
157,93372,1
158,93390,0
159,93394,1
160,93398,0
161,93406,0
162,93408,1
163,93412,1
164,93416,0
165,93418,0
166,93424,0
167,93426,0
168,93432,0
169,93436,0
170,93450,0
171,93454,0
172,93456,0
173,93460,0
174,93464,1
175,93466,0
176,93468,1
177,93474,1
178,93476,0
179,93478,0
180,93482,0
181,93484,1
182,93486,1
183,93488,0
184,93490,0
185,93494,1
186,93500,1
187,93502,0
188,93510,0
189,93512,1
190,93526,1
191,93534,1
192,93536,0
193,93544,0
194,93570,1
195,93600,0
196,93640,0
197,93648,1
198,93654,0
199,93690,0
200,93698,1
201,93704,0
202,93708,0
203,93712,0
204,93738,1
205,93744,0
206,93746,1
207,93760,0
208,93778,0
209,93780,0
210,93782,1
211,93784,0
212,93796,1
213,93800,0
214,93802,0
215,93804,1
216,93808,0
217,93814,0
218,93816,1
219,93828,1
220,93832,1
221,93834,1
222,93836,0
223,93838,1
224,93848,0
225,93862,0
226,93870,0
227,93874,0
228,93884,1
229,93904,1
230,94260,1
231,94272,1
232,94288,0
233,94348,0
234,94374,0
235,94426,0
236,94528,1
237,94548,1
238,94566,1
239,94570,1
240,94584,1
241,94630,0
242,94680,0
243,94732,1
244,94768,1
245,94770,0
246,94778,0
247,94784,0
248,94812,1
249,94830,0
250,94832,0
251,94844,1
252,94854,0
253,94858,1
254,94860,0
255,94862,0
256,94864,0
257,94866,0
258,94896,1
259,94898,0
260,94900,0
261,94904,1
262,94906,1
263,94910,0
264,94916,0
265,94918,1
266,94922,1
267,94924,0
268,94932,1
269,94940,1
270,94946,1
271,94948,0
272,94952,1
273,94956,0
274,94964,0
275,94968,0
276,94970,0
277,94978,0
278,94980,0
279,94982,0
280,94984,0
281,94988,0
282,94990,0
283,94992,1
284,94994,0
285,95002,0
286,95004,0
287,95014,0
288,95016,1
289,95024,1
290,95032,0
291,95038,1
292,95040,1
293,95052,0
294,95054,0
295,95062,1
296,95076,1
297,95082,1
298,95084,0
299,95090,0
300,95092,0
301,95094,1
302,95108,1
303,95118,1
304,95120,1
305,95124,1
306,95130,0
307,95136,0
308,95154,0
309,95158,0
310,95166,0
311,95168,1
312,95172,0
313,95176,0
314,95194,0
315,95200,1
316,95202,0
317,95210,0
318,95214,0
319,95216,1
320,95218,1
321,95224,0
322,95230,1
323,95232,1
324,95234,0
325,95236,1
326,95242,0
327,95246,0
328,95250,0
329,95258,1
330,95260,0
331,95264,1
332,95266,1
333,95272,0
334,95274,0
335,95278,0
336,95280,0
337,95282,0
338,95290,0
339,95292,0
340,95298,0
341,95300,1
342,95304,0
343,95306,0
344,95312,0
345,95318,0
346,95320,1
347,95330,0
348,95338,0
349,95348,0
350,95358,1
351,95360,1
352,95362,1
353,95368,1
354,95370,0
355,95386,0
356,95390,0
357,95398,1
358,95404,1
359,95410,0
360,95420,0
361,95432,1
362,95442,1
363,95444,0
364,95462,1
365,95474,1
366,95486,0
367,95516,0
368,95518,0
369,95524,0
370,95546,0
371,95552,0
372,95554,0
373,95560,0
374,95568,1
375,95592,1
376,95596,1
377,95600,1
378,95610,0
379,95620,0
380,95622,1
381,95630,1
382,95644,1
383,95650,0
384,95656,0
385,95668,0
386,95672,1
387,95682,1
388,95688,1
389,95694,0
390,95700,0
391,95702,0
392,95708,0
393,95710,0
394,95712,1
395,95738,1
396,95746,0
397,95762,1
398,95766,1
399,95768,0
400,95772,0
401,95776,1
402,95778,0
403,95780,1
404,95784,0
405,95808,0
406,95822,0
407,95828,1
408,95834,0
